,team,total goals
0,7 Schwaben,123
1,Alba,111
2,Bad Skid,119
3,Baja Ultimate,78
4,Buzz Bullets,138
5,Canieporci,106
6,Chevron,120
7,Clapham Ultimate,142
8,CUS PADOVA Barbastreji,119
9,CUSB Open,138
10,Euforia,128
11,Flying Angels Bern,110
12,Force Elektro,70
13,Freespeed,125
14,Furious George,141
15,Gentle,126
16,GOAT,134
17,Guayota,118
18,Iznogood,147
19,KFK (Københavns Frisbee Klub),120
20,Koels,112
21,Makawua,115
22,Melbourne Ellipsis,129
23,Melbourne Juggernaut,128
24,Mephisto,147
25,Mooncatchers,134
26,Mutiny,117
27,Nomadic Tribe,139
28,PoNY,148
29,Raleigh Ring of Fire,147
30,Ranelagh,127
31,Rascals,130
32,Rhino Slam!,135
33,Seattle Sockeye,142
34,Sunder,146
35,Tchac,152
36,URO Monster,109
37,Wall City,133
38,Warao Ultimate Venezuela,100
39,Wildcats,116
40,6ixers,136
41,Aerosoul,119
42,Bamboo,107
43,Blueberries,134
44,Boston Brutesquad,143
45,Box Vienna Ultimate,131
46,Bristol Women,105
47,Chicago Nemesis,127
48,CUSB Shout,116
49,Dublin Gravity,113
50,Ellipsis,141
51,FABulous,120
52,Fury,148
53,Fusion,117
54,HUCK,129
55,Iceni,119
56,Iris,137
57,jinX,138
58,La Septima,76
59,Malafama,101
60,MUD,153
61,Nightlock,135
62,Pangolins,123
63,Parcha,117
64,Pop Ultimate,111
65,Raleigh Phoenix,145
66,Revolution,149
67,Salty,106
68,SCRAM,85
69,Seagulls Hamburg,125
70,Seattle Riot,104
71,Spanglish,55
72,Spice Ultimate,94
73,Stella,107
74,Swampybarg,135
75,SYC,92
76,Tabby Rosa,108
77,TOKYO Mavericks,127
78,Traffic,146
79,Yaka,125
80,,0
81,Alligators Masi,123
82,Baekho,65
83,BFG,141
84,Catchup,111
85,Charrúa,103
86,Colorado,114
87,Condor Ultimate,89
88,CRAZY,127
89,Crazy Dogs,93
90,CUSB Red Shot,84
91,D-CRASH,112
92,Deep Space,135
93,Disconnection,124
94,Eintracht Frankfurt,105
95,Fireflies,45
96,FucZH,101
97,GRUT,147
98,Hammers Ultimate Buenos Aires,108
99,High Tide,98
100,Hybrid,144
101,IKU!,123
102,LAB,129
103,Lunch Box Ultimate Club,147
104,Macondo,120
105,Mainzelrenner,125
106,Meclao',139
107,Monkeys,118
108,Njord,132
109,NOISE,148
110,Otters,119
111,Owls UC,101
112,PBHG,138
113,Pie Wagon,97
114,PUC Ultimate,135
115,Pussin Tiristäjät (PuTi),128
116,RATELS,66
117,Reading Ultimate,128
118,Red Flag,140
119,Seattle Mixtape,150
120,SMOG 1,137
121,SMOG Rising,111
122,SUFC Valhalla,93
123,Two Oceans,84
124,Union,130
125,Voltaje,126
126,W.underteam,106
127,Wollongong Krank,96
128,Zen Ultimate Club,95
